"100th  DRAW OF RS.1,500/- DENOMINATION NATIONAL PRIZE BONDS"										
HELD ON 15-11-2024 AT SBP BSC RAWALPINDI

First Prize of Rs. 3,000,000/-
633542

Second Prize of Rs. 1,000,000/- each
163958    589006    881670
										
"(1696 Prizes of Rs.18,500/- each)"										
										
										
354491	382999	412927	441862	468257	494939	526154	559128	589452	629897	666873
354669	383210	414214	442664	468439	495089	526589	559378	590819	632440	667541
354714	383965	414342	444058	469775	495583	528007	559723	594210	632441	668577
354757	384381	414438	444240	470862	495939	528557	560049	594956	633494	668810
354979	384732	416192	444409	470931	496211	529245	560668	596354	633577	669372
358064	385156	416196	444532	471442	496636	529628	560923	598517	633612	669607
359026	385469	416513	444544	471759	496893	529733	561057	598955	633617	670204
360471	386826	417780	445003	471930	497349	529934	561267	599174	634917	670208
362496	386866	418885	445649	472375	498272	530135	562489	599797	635008	670880
363096	387727	419679	445986	472631	498978	530291	564288	601650	636205	672559
363431	388067	420219	445991	473080	499376	530571	564320	601823	636859	673165
363904	388747	420237	446433	473238	499477	530653	566209	602195	637055	673441
364565	388987	420341	446512	474146	499485	531698	566772	602651	637811	673618
364824	390507	421023	446563	474268	499528	532189	567519	604425	639812	675741
365312	391480	422683	446929	474432	499881	532193	567779	604667	640057	676208
366516	391586	422996	448383	474934	500813	532414	567808	604744	640632	676254
366689	392261	423174	448923	475072	500841	534133	568045	606589	640948	676442
369182	395592	423267	449252	475264	501247	536900	568281	606857	641400	676763
369598	395701	423324	449702	476904	501248	537985	568841	607524	641440	676921
369962	396520	423450	449957	478177	501545	539708	569473	607760	641903	676955
370099	396734	424076	450196	478216	501592	540264	569868	609844	642230	677006
370209	397185	425574	451392	478521	504386	541313	570558	610520	644668	677013
370499	398307	426388	452672	478607	504511	542018	570951	610926	645188	677232
370679	398555	426694	454921	478702	504950	542804	571232	611199	646102	677544
370694	398556	426791	455569	479017	505103	542953	571976	611315	647818	677721
370701	399033	426988	455641	480255	505442	543225	572160	611493	648792	678553
370706	399093	429096	456044	480285	506673	544586	572620	611769	649378	678851
370780	399232	429688	456230	480347	506829	544706	572772	612052	649872	678899
										
										
										
										
										
(HASAN TALAL ASLAM)				(SHABBIR AHMAD)			(SYED ASMA AZIZ)			
Assistant Chief Manager				Deputy Chief Manager			Secretary/Sr. Deputy Chief Manager			
Prize Bonds Unit				Internal Monitoring Division			SBP BSC Rawalpindi			
										
									Continued Page-3	
"100th  DRAW OF RS.1,500/- DENOMINATION NATIONAL PRIZE BONDS"										
HELD ON 15-11-2024 AT SBP BSC RAWALPINDI										
"(1696 Prizes of Rs.18,500/- each)"										
PART -II									Page No.3	
										
678966	710801	740647	765981	800294	831887	863170	893234	919667	954244	982292
678970	712060	741043	766396	800756	832569	863264	893876	919924	955947	982388
678976	712164	741294	766857	801121	834313	864094	894495	920393	956442	982899
681129	712421	741351	767418	801132	835160	864182	894937	920539	956681	983279
681605	712522	741657	767660	801549	835178	865027	895007	920592	957114	984240
681877	712631	741714	768891	803046	835200	865919	895589	920844	957256	984339
681917	712953	743412	769010	803740	835708	866855	895802	921213	957621	984414
682305	713085	744523	769376	804453	836553	867048	896231	921991	957796	984660
682589	714078	744558	770168	804522	836826	867098	897219	922511	957844	985267
683064	714276	744585	770278	805294	837054	867415	898206	924092	957971	985998
683721	714760	745187	770451	805541	837897	867608	899027	925506	958515	986530
684496	717153	745473	770781	806121	838616	868369	899651	926076	958647	987160
684697	718622	745509	772138	806563	839143	869101	900402	926264	959379	987654
684699	719263	745745	772545	807022	839922	869224	900483	926379	959514	988445
684723	719431	745787	773242	809313	840217	869466	901649	926956	959898	988857
685690	720091	746166	773425	810846	840819	869740	901921	927771	960508	989322
686099	720593	746408	774236	811503	840944	869971	902115	927792	960984	989499
686614	721578	746465	774479	812508	841488	869977	902218	927872	961851	989512
689092	722762	747159	775238	813736	841542	871376	902598	929395	962944	989515
689964	723143	747161	775400	814205	842745	872229	903894	932730	963095	990461
690554	723493	748104	776137	817748	842984	872238	905200	933237	964896	991775
692081	723550	749031	776875	818384	843139	873497	905205	934061	964905	992594
692383	723829	749973	777863	818461	843177	873720	905720	936499	965079	993042
693703	725364	751103	778333	818490	843261	874443	906142	937387	965130	994057
693820	725472	751889	778582	818501	843346	874813	907443	937791	965543	994200
694009	726844	751995	778606	818665	846054	875543	907628	938346	965945	994644
694487	727357	752311	778752	819039	846078	875658	907993	938588	966315	994757
694501	727530	752897	779892	820364	846492	877094	909009	939002	967803	994857
695010	727765	753579	780184	820849	846937	877317	909585	939756	969203	995099
696609	728907	753622	780666	821340	847557	878647	910286	940293	969207	995484
697649	729462	754060	780933	821434	848605	879230	910785	940792	970702	995618
697664	730372	754491	782829	821999	849057	879342	910904	942300	970941	996774
698525	730808	755237	784376	822243	850893	879377	912735	943173	971242	996798
698577	731309	755596	786097	823209	852106	880289	912750	943415	972723	996878
699005	731734	755934	787211	823626	852383	882088	913129	943885	972827	996983
699714	732395	755956	788576	824250	852488	882092	913568	945221	972833	997205
700194	732796	756756	789207	824488	853048	882783	913802	945293	973245	997562
701846	732847	757495	789369	824837	853728	882865	913897	946111	973395	998325
701886	735322	758373	791843	825015	853819	882885	913988	946311	973476	998407
703716	735748	758485	792391	826280	855330	884037	916447	946581	973500	998892
703741	735971	758722	794270	826468	856192	885267	916799	947008	974370	999277
705098	736232	758923	794500	826580	856719	885538	917112	947413	975835	999291
705253	736471	759603	794587	826680	858292	887344	917450	947586	976402	XXXXXX
705323	736792	761471	795180	826779	858348	888319	917538	947868	976868	XXXXXX
705394	737092	761964	795627	829624	859330	890634	918023	950541	976885	XXXXXX
705751	737575	764393	796059	829898	861017	891487	918236	950782	977821	XXXXXX
707642	738333	764424	796848	829936	861387	892448	918611	951226	978746	XXXXXX
708963	739521	765394	797535	829959	861393	892468	919010	951284	978867	XXXXXX
708966	740334	765456	799333	830521	861721	892544	919124	951480	978935	XXXXXX
710255	740539	765644	799375	831553	862120	892640	919608	951739	979028	XXXXXX
710637	740620	765942	799793	831647	862638	892649	919657	953065	980850	XXXXXX
										
										
										
(HASAN TALAL ASLAM)				(SHABBIR AHMAD)			(SYED ASMA AZIZ)			
Assistant Chief Manager				Deputy Chief Manager			Secretary/Sr. Deputy Chief Manager			
Prize Bonds Unit				Internal Monitoring Division			SBP BSC Rawalpindi			
										
STATE BANK OF PAKISTAN										
"SBP BSC (BANK),"										
RAWALPINDI										
DATED: 15.11.2024										
