                       DRAW OF Rs.200/- PRIZE BOND

		        HELD AT HYDERABAD
Draw No.95th				

Series:	Common Draw					Date:15/09/2023

----------------------------------------------------------------------------------

First Prize of Rs.750,000/-

093777

----------------------------------------------------------------------------------

Second Prize of Rs.Rs.250,000/- each.


002536   348200   476510   521695   991054

--------------------------------------------------------------------------------------	
										
95TH DRAW OF RS. 200/- DENOMINATION NATIONAL PRIZE BONDS HELD AT HYDERABAD ON 
15TH SEPTEMBER, 2023 (2,394 PRIZES OF RS. 1,250/- EACH)

246308	266651	294572	316934	338139	356029	380938	406600	434575	457217	484133
246865	266653	295295	317720	338546	356048	381419	406768	434681	458548	485060
247146	266655	295519	318046	338666	357679	381734	408157	434839	458732	485219
247156	267359	295645	318195	339194	357807	381782	408387	434877	459442	485521
247258	268306	295950	318564	339308	358427	382155	408727	435271	459461	485686
247511	268940	296154	318762	339367	358577	382181	409998	435378	459594	486632
247524	269430	296263	318894	339723	358840	382997	410675	436117	459618	486768
248872	269968	296865	319503	339782	359622	384298	410902	436264	460580	487029
248983	272463	296975	319562	339961	359745	384823	412360	436546	460632	487659
250492	272532	297114	319603	340334	359839	385637	412479	437262	462742	487772
250678	273385	297127	320181	340507	360062	386037	412570	438143	462928	487984
250710	274245	297153	321483	340551	360220	386124	412787	438241	463174	488077
250853	274376	298093	321589	340717	360393	386218	412830	438314	463334	488798
250901	275481	298154	323181	340753	360704	386773	413147	438543	463650	488947
251128	276348	298286	323968	341534	360809	387510	413162	438617	464922	489212
251135	276764	298658	325120	341837	362103	388735	413923	438678	465446	490092
251147	277292	298846	325428	342326	362640	389920	413926	438811	466823	490154
251929	277538	299421	325493	342766	362697	390734	413992	440250	466898	490251
252424	278489	299937	325668	343307	363719	390894	414248	442449	467168	492071
252637	278545	301272	325879	343424	364519	391381	414599	442645	467492	492247
252674	278549	301398	326129	343468	364829	391871	414751	442760	468798	492560
253427	278738	302275	328124	344930	365438	393076	415991	443400	468916	492989
253788	278811	302519	328170	345523	366017	393429	416254	444210	469984	493080
255019	279167	303549	328180	346041	366519	393750	416760	444797	470131	493214
255084	279798	304132	328233	346935	366599	394782	417165	444907	471639	493790
255125	279985	305381	328270	347463	366952	395344	417994	445086	471678	493942
255391	280627	305933	328424	347647	367690	396160	418044	445714	472168	494436
255527	280730	306350	328934	348206	367789	397526	418178	445847	472984	494684
