               DRAW OF Rs.25000/- Denomination Premium Prize Bonds (Registered)

				 HELD AT RAWALPINDI
Draw No. 5th									

Series:	Common Draw					Date: 10/03/2022

----------------------------------------------------------------------------------


First Prize of Rs. 30,000,000/-

096298   193729
----------------------------------------------------------------------------------


Second Prize of Rs.10,000,000/- Each


066227  284279  604401   696721   901103 

----------------------------------------------------------------------------------	

										
5TH DRAW OF RS. 25,000/- DENOMINATION PREMIUM PRIZE BONDS (REGISTERED) 												
HELD ON 10-03-2022 AT SBP BSC QUETTA 												
(700 Prizes of Rs.300,000/- Each)												
											
005263	084890	146611	208566	293167	377238	448409	524451	592628	674218	744971	833384	916322
006119	086846	146891	209548	294373	381612	448960	524594	592640	674573	756109	833953	917938
006622	087460	146992	210405	295160	382151	449557	524951	593618	675239	757328	835553	918116
009323	088085	147502	210709	297823	382864	452894	526287	594025	683102	759248	836956	918335
009760	089035	148137	211068	301488	382879	453190	527566	595581	685288	763159	837400	918461
009966	089603	148268	212461	302138	386136	454674	530081	595842	686930	767826	838740	923529
010478	090200	150917	218466	306146	388006	456362	533406	595856	688914	768361	841722	926488
011477	090598	151177	219592	308007	388287	458446	534010	596858	690650	768792	842100	929932
012059	090639	151488	221694	308641	390907	463512	534837	597186	691933	770894	847149	932057
012893	092369	152792	222280	309306	391164	463659	535614	599830	694301	771714	847983	932338
016416	093135	154472	224215	309504	391263	463734	536902	600636	694473	773162	848404	932740
019982	093868	154860	224520	310829	391924	464484	537130	600718	694601	773171	848829	932953
021645	093903	155436	226430	312332	393716	465812	540622	602128	694651	778298	849320	933945
022612	095928	157214	227407	312783	394323	466166	543420	602149	694655	778577	854003	934250
023869	096392	157327	228766	313419	399162	467573	543876	602616	696470	779009	854788	935719
025937	096467	157797	233965	315084	399652	467753	545896	604672	697300	780437	857249	939828
035832	097546	158208	234294	316204	401204	468537	546066	604838	698866	780851	858606	943945
036475	099321	158308	235268	317090	401537	469092	546420	604866	699225	782705	864455	945644
038040	100120	158721	235282	318257	402132	469794	547184	606282	699240	783450	865381	946671
038107	100512	159318	239456	319197	402138	472652	547308	607073	699557	785235	865468	948549
038642	101031	159466	239669	322229	403504	473581	549693	613405	699959	786047	865484	950510
040433	101599	162159	241205	322987	403574	477529	550838	620453	701018	787825	866248	950989
040488	101796	162217	241870	323188	406066	480100	550854	624143	701159	789346	866619	951106
043485	102492	162866	245083	324220	406417	482211	551003	625420	702138	789989	867896	957234
045671	105519	163111	247267	324901	407688	482726	551022	625981	705720	792367	869528	957459
048339	106200	164468	250328	326964	409699	482833	551062	627362	706309	793362	869918	958327
049056	106516	165162	250741	328449	410023	483407	552225	634987	708371	793426	869947	960761
049543	106895	166941	251617	328867	410402	485056	552292	635130	709377	793964	871513	961218
049605	107921	167169	252190	332537	412406	486194	552649	635188	710095	794356	871628	961957
049681	108090	167408	255228	334393	412894	486226	554132	636824	710725	796191	872940	963934
049941	109643	171629	256499	337336	413663	488400	557540	641303	712469	798702	877509	965677
050306	109650	177937	257914	341562	413674	490186	558159	641468	715790	800131	879907	968027
050742	113107	180311	258504	342109	415383	490249	559580	643551	717899	801463	882377	968834
051909	113326	180755	259527	342573	415795	491217	564600	647628	718262	804857	882871	972819
052959	114356	182929	267317	344101	415807	491804	566182	647638	718709	805485	886500	974008
054182	114634	183442	269026	346772	416087	492517	566646	649329	718741	807134	886540	974514
058282	115046	183918	270547	347496	416610	493514	567730	649400	719342	807637	888871	974573
061437	115622	184847	270819	348133	416735	493543	568604	650965	719379	808449	890475	975059
063180	117748	186885	272949	348632	416738	495425	568609	651162	721636	809302	890610	981462
064963	118622	190130	276557	351747	417640	498504	569468	652494	722168	810175	893822	981957
066123	119191	190841	277527	351795	419422	499043	570659	653639	722716	812426	895922	982000
066326	121136	192340	279199	355865	420998	502645	571573	657768	725206	816400	898026	984986
066665	121551	194509	279268	358217	421059	505892	571640	659461	728429	816524	899795	985518
069381	125488	196141	280084	358309	421131	507134	573866	661106	731272	821375	900385	986156
069669	125576	197476	280450	358694	422314	507175	575454	662027	734784	821753	900490	987249
071203	126480	200894	281488	361438	425188	509215	575500	662182	735123	825006	900559	987302
072869	127138	202138	283765	362218	430747	510510	577663	662845	735349	825065	901159	987632
074474	130050	202479	285192	365797	430787	512292	583222	663403	738050	827963	903191	989373
074573	130892	202506	286238	368728	432689	512463	585456	665311	738807	828098	903203	993410
078895	130987	203216	286648	368898	434240	514988	587905	667202	739109	829197	904713	994183
079838	135641	204563	286990	371019	437194	517455	588107	669813	739342	830663	906400	996863
081344	142459	206202	290084	372241	444740	519331	588537	671368	740447	831445	913412	997550
081944	143286	206594	291030	377082	447551	521712	591161	672442	742543	831837	914158	xxxxxx
082322	146551	207165	292006	377087	448157	523145	592501	674114	742882	832186	916113	xxxxxx
